id,name,slug,created_at,updated_at,logo_url,logo_source,logo_status,logo_updated_at,aliases,audit_class,audit_confidence,audit_reason,audit_source
manuf-asus,ASUS,,,,,,,,,VERIFIED_BRAND,100,Official company/manufacturer website found,https://www.asus.com/
manuf-lenovo,Lenovo,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/lenovo
manufacturer-acer-17m27,Acer,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/acer
manufacturer-amd-1e3c,AMD,,,,,,,,,VERIFIED_BRAND,100,Official company/manufacturer website found,https://www.amd.com/en.html
manufacturer-anydesk-dlj8f9,Anydesk,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/anydesk
manufacturer-apple-11sit6,Apple,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/apple
manufacturer-asrock-w332k7,ASRock,,,,,,,,,VERIFIED_BRAND,100,Official company/manufacturer website found,https://www.asrock.com/
manufacturer-atari-11urs5,Atari,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/atari
manufacturer-audi-17zdl,Audi,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/audi
manufacturer-autodesk-ovckbs,Autodesk,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/autodesk
manufacturer-backbone-yvmawl,Backbone,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/backbone
manufacturer-beats-124zml,Beats,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/beats
manufacturer-bitdefender-5wqiwg,Bitdefender,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/bitdefender
manufacturer-bmw-1fn0,Bmw,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/bmw
manufacturer-bosch-12bqff,Bosch,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/bosch
manufacturer-broadcom-72uwv3,Broadcom,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/broadcom
manufacturer-chrysler-wzccb6,Chrysler,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/chrysler
manufacturer-cisco-12rp3t,Cisco,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/cisco
manufacturer-citroen-uii758,Citroen,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/citroen
manufacturer-coreldraw-7374up,Coreldraw,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/coreldraw
manufacturer-deepcool-bgykwl,Deepcool,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/deepcool
manufacturer-dell-19ko1,Dell,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/dell
manufacturer-dji-1h1f,Dji,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/dji
manufacturer-epson-13zrhj,Epson,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/epson
manufacturer-fiat-1axcm,Fiat,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/fiat
manufacturer-fujifilm-m3j6ya,Fujifilm,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/fujifilm
manufacturer-fujitsu-j1kjhk,Fujitsu,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/fujitsu
manufacturer-genius-z7qv87,Genius,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/genius
manufacturer-google-zd9eft,Google,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/google
manufacturer-hitachi-s5xxm2,Hitachi,,,,,,,,,VERIFIED_BRAND,90,Exact popular-brand icon source matched the clean name,https://cdn.simpleicons.org/hitachi
